State,Year,Category,Value
Johor,2017,Pollution management,274164
Johor,2018,Pollution management,228340
Johor,2019,Pollution management,493438
Johor,2020,Pollution management,636030
Johor,2021,Pollution management,660433
Kedah,2017,Pollution management,77200
Kedah,2018,Pollution management,72394
Kedah,2019,Pollution management,84293
Kedah,2020,Pollution management,61017
Kedah,2021,Pollution management,90088
Kelantan,2017,Pollution management,19492
Kelantan,2018,Pollution management,10088
Kelantan,2019,Pollution management,7518
Kelantan,2020,Pollution management,12400
Kelantan,2021,Pollution management,17233
Melaka,2017,Pollution management,72835
Melaka,2018,Pollution management,49125
Melaka,2019,Pollution management,51878
Melaka,2020,Pollution management,85347
Melaka,2021,Pollution management,78090
Negeri Sembilan,2017,Pollution management,41131
Negeri Sembilan,2018,Pollution management,257383
Negeri Sembilan,2019,Pollution management,59889
Negeri Sembilan,2020,Pollution management,57933
Negeri Sembilan,2021,Pollution management,67819
Pahang,2017,Pollution management,43261
Pahang,2018,Pollution management,117970
Pahang,2019,Pollution management,138099
Pahang,2020,Pollution management,155927
Pahang,2021,Pollution management,182567
Perak,2017,Pollution management,45697
Perak,2018,Pollution management,52035
Perak,2019,Pollution management,69561
Perak,2020,Pollution management,88600
Perak,2021,Pollution management,85945
Perlis,2017,Pollution management,7406
Perlis,2018,Pollution management,2637
Perlis,2019,Pollution management,14340
Perlis,2020,Pollution management,4916
Perlis,2021,Pollution management,5894
Penang,2017,Pollution management,107250
Penang,2018,Pollution management,99280
Penang,2019,Pollution management,115353
Penang,2020,Pollution management,113914
Penang,2021,Pollution management,114391
Sabah,2017,Pollution management,54852
Sabah,2018,Pollution management,67330
Sabah,2019,Pollution management,215962
Sabah,2020,Pollution management,74430
Sabah,2021,Pollution management,95273
Sarawak,2017,Pollution management,165970
Sarawak,2018,Pollution management,67330
Sarawak,2019,Pollution management,150348
Sarawak,2020,Pollution management,138970
Sarawak,2021,Pollution management,137636
Selangor,2017,Pollution management,285558
Selangor,2018,Pollution management,328075
Selangor,2019,Pollution management,345275
Selangor,2020,Pollution management,322866
Selangor,2021,Pollution management,363703
Terengganu,2017,Pollution management,268851
Terengganu,2018,Pollution management,226276
Terengganu,2019,Pollution management,101876
Terengganu,2020,Pollution management,211445
Terengganu,2021,Pollution management,184519
W.P. Kuala Lumpur,2017,Pollution management,195299
W.P. Kuala Lumpur,2018,Pollution management,191305
W.P. Kuala Lumpur,2019,Pollution management,173051
W.P. Kuala Lumpur,2020,Pollution management,139231
